%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1705447357420502326,0,93.0,83.0,84.0,94.0
1705447357452140544,0,93.0,83.0,82.0,94.0
1705447357482423876,0,92.0,83.0,83.0,93.0
1705447357513551623,0,93.0,83.0,83.0,94.0
1705447357544715612,0,92.0,84.0,83.0,94.0
1705447357576153524,0,93.0,84.0,83.0,94.0
1705447357609097884,0,92.0,85.0,82.0,94.0
1705447357640353664,0,92.0,84.0,82.0,94.0
1705447357671025909,0,92.0,84.0,82.0,96.0
1705447357703968352,0,92.0,83.0,83.0,96.0
1705447357736819269,0,92.0,83.0,84.0,96.0
1705447357764299087,0,93.0,83.0,85.0,95.0
1705447357796055098,0,92.0,84.0,84.0,96.0
1705447357826669353,0,92.0,84.0,84.0,97.0
1705447357858166510,0,91.0,85.0,83.0,97.0
1705447357889294327,0,92.0,84.0,82.0,96.0
1705447357922126648,0,91.0,83.0,82.0,94.0
1705447357955843169,0,92.0,83.0,83.0,94.0
1705447357985746330,0,92.0,82.0,83.0,93.0
1705447358015629479,0,93.0,83.0,83.0,93.0
1705447358046355671,0,92.0,84.0,82.0,94.0
1705447358076862589,0,92.0,85.0,83.0,95.0
1705447358109735893,0,93.0,85.0,82.0,95.0
1705447358141108875,0,93.0,84.0,83.0,95.0
1705447358172067334,0,92.0,84.0,83.0,96.0
1705447358203889543,0,92.0,84.0,83.0,96.0
1705447358240797914,0,92.0,84.0,83.0,95.0
1705447358264797870,0,92.0,85.0,83.0,94.0
1705447358296907710,0,91.0,85.0,83.0,94.0
1705447358331094853,0,92.0,85.0,83.0,95.0
1705447358359197295,0,92.0,85.0,83.0,95.0
1705447358393890869,0,92.0,85.0,83.0,95.0
1705447358420598174,0,92.0,84.0,83.0,95.0
1705447358453490169,0,92.0,84.0,82.0,96.0
1705447358485546672,0,92.0,84.0,82.0,95.0
1705447358515506492,0,91.0,84.0,83.0,94.0
1705447358547210423,0,91.0,83.0,83.0,94.0
1705447358578324655,0,92.0,83.0,82.0,93.0
1705447358610203331,0,93.0,84.0,82.0,93.0
1705447358640168824,0,92.0,84.0,82.0,94.0
1705447358671244279,0,92.0,85.0,82.0,94.0
1705447358704812162,0,91.0,84.0,81.0,94.0
1705447358736640619,0,91.0,84.0,81.0,93.0
1705447358769557951,0,91.0,84.0,81.0,94.0
1705447358797887619,0,91.0,83.0,83.0,94.0
1705447358830144630,0,92.0,84.0,82.0,94.0
1705447358861092914,0,93.0,83.0,82.0,94.0
1705447358890860902,0,92.0,84.0,82.0,94.0
1705447358922869272,0,92.0,83.0,83.0,95.0
1705447358954796879,0,92.0,83.0,83.0,96.0
1705447358986156300,0,92.0,83.0,84.0,95.0
1705447359016807884,0,92.0,83.0,83.0,95.0
1705447359047144566,0,92.0,84.0,82.0,94.0
1705447359079476433,0,92.0,85.0,81.0,94.0
1705447359110667605,0,92.0,86.0,82.0,94.0
1705447359140565040,0,93.0,85.0,83.0,94.0
1705447359173284405,0,93.0,85.0,84.0,96.0
1705447359204158651,0,93.0,84.0,83.0,96.0
1705447359235077732,0,92.0,85.0,83.0,95.0
1705447359265894624,0,92.0,85.0,82.0,94.0
1705447359297279898,0,92.0,85.0,82.0,93.0
1705447359329333857,0,92.0,85.0,81.0,94.0
1705447359360396197,0,92.0,85.0,81.0,95.0
1705447359391556758,0,91.0,85.0,80.0,95.0
1705447359423244185,0,91.0,84.0,80.0,94.0
1705447359454127445,0,91.0,84.0,81.0,95.0
1705447359486137029,0,91.0,84.0,82.0,96.0
1705447359516567735,0,91.0,84.0,83.0,97.0
1705447359548012339,0,92.0,84.0,83.0,97.0
1705447359579164918,0,92.0,85.0,83.0,96.0
1705447359621066184,0,91.0,85.0,83.0,95.0
1705447359641963082,0,91.0,86.0,82.0,95.0
1705447359674382666,0,92.0,84.0,82.0,96.0
1705447359704348678,0,92.0,84.0,82.0,97.0
1705447359736325427,0,92.0,83.0,83.0,99.0
1705447359766859620,0,91.0,84.0,84.0,98.0
1705447359798041869,0,92.0,84.0,84.0,97.0
1705447359829533110,0,92.0,85.0,83.0,96.0
1705447359860165508,0,93.0,84.0,83.0,97.0
1705447359892617611,0,93.0,85.0,83.0,96.0
1705447359924031810,0,92.0,85.0,83.0,95.0
1705447359955022133,0,92.0,85.0,83.0,95.0
1705447359986706865,0,91.0,85.0,82.0,96.0
1705447360017299583,0,91.0,85.0,83.0,97.0
1705447360048544028,0,91.0,85.0,83.0,97.0
1705447360087895471,0,93.0,85.0,83.0,95.0
1705447360117045884,0,93.0,85.0,82.0,94.0
1705447360141769067,0,93.0,85.0,83.0,94.0
1705447360173018778,0,93.0,85.0,83.0,95.0
1705447360204973948,0,93.0,84.0,83.0,95.0
1705447360236176003,0,93.0,85.0,83.0,95.0
1705447360267478439,0,94.0,84.0,84.0,95.0
1705447360303141886,0,92.0,84.0,83.0,95.0
1705447360330572982,0,92.0,84.0,83.0,96.0
1705447360361105970,0,91.0,85.0,83.0,95.0
1705447360392541759,0,92.0,86.0,83.0,96.0
1705447360424552635,0,92.0,85.0,83.0,96.0
1705447360457503036,0,93.0,83.0,84.0,96.0
1705447360487306750,0,92.0,82.0,84.0,95.0
1705447360522820953,0,92.0,83.0,83.0,95.0
1705447360549505956,0,92.0,83.0,83.0,94.0
1705447360579306881,0,92.0,84.0,83.0,94.0
1705447360611473332,0,92.0,85.0,84.0,95.0
1705447360643385860,0,92.0,85.0,84.0,96.0
1705447360676564498,0,92.0,85.0,83.0,96.0
1705447360707593036,0,91.0,85.0,83.0,97.0
1705447360738258766,0,91.0,85.0,83.0,97.0
1705447360770471767,0,91.0,85.0,83.0,98.0
1705447360800065974,0,91.0,85.0,82.0,97.0
